Sequencing_ID	new_genotype
PN13_SID1173	Zv.0220_P3_P5_P1.2.1.1
PN13_SID1174	Zv.0220_P3_P5_P2.1.1.1
PN13_SID1175	Zv.0220_P3_P5_P2.2.1.1
PN13_SID1176	Zv.0260_P2_P1_P1.1.1.1
PN13_SID1177	Zv.0260_P2_P1_P2.1.1.1
PN13_SID1178	Zv.0260_P2_P1_P2.2.1.1
PN13_SID1179	Zv.0260_P2_P2_P1.1.1.1
PN13_SID1180	Zv.0260_P2_P2_P1.2.1.1
PN13_SID1181	Zv.0260_P2_P2_P2.2.1.1
PN13_SID1182	Zv.0260_P2_P3_P1.1.1.1
PN13_SID1183	Zv.0260_P2_P3_P1.2.1.1
PN13_SID1184	Zv.0260_P2_P3_P2.1.1.1
PN13_SID1185	Zv.0260_P2_P3_P2.2.1.1
PN13_SID1186	Zv.0260_P2_P4_P1.1.1.1
PN13_SID1187	Zv.0260_P2_P4_P1.2.1.1
PN13_SID1188	Zv.0260_P2_P5_P1.1.1.1
PN13_SID1189	Zv.0260_P2_P5_P1.2.1.1
PN13_SID1190	Zv.0140_P3_P1_P2.1.1.1
PN13_SID1191	Zv.0140_P3_P1_P2.2.1.1
PN13_SID1192	Zv.0140_P3_P2_P1.1.1.1
PN13_SID1193	Zv.0140_P3_P2_P1.2.1.1
PN13_SID1194	Zv.0140_P3_P2_P2.1.1.1
PN13_SID1195	Zv.0140_P3_P3_P1.1.1.1
PN13_SID1196	Zv.0140_P3_P5_P1.1.1.1
PN13_SID1197	Zv.0140_P3_P5_P2.1.1.1
PN13_SID1198	Zv.0140_P3_P5_P2.2.1.1
PN13_SID1199	Zd.0020_P2_P1_P1.1.1.1
PN13_SID1200	Zd.0020_P2_P1_P1.2.1.1
PN13_SID1201	Zd.0020_P2_P1_P1.4.1.1
PN13_SID1202	Zd.0020_P2_P1_P2.1.1.1
PN13_SID1203	Zd.0020_P2_P1_P2.2.1.1
PN13_SID1204	Zd.0020_P2_P1_P2.3.1.1
